1;1990;4;1.21135;0.91331;10.3977;-1.46794;0.05808;-0.06095
1;1990;5;1.28464;0.89349;10.3977;-1.46794;0.01955;0.0932
1;1990;6;1.25182;0.907;10.3977;-1.46794;0.03324;-0.05825
1;1990;7;1.30126;0.90814;10.3977;-1.46794;0.02674;-0.13009
1;1990;8;1.3556;0.8877;10.3977;-1.46794;0.01821;-0.28785
1;1990;9;1.46436;0.86686;10.3977;-1.46794;0.04706;0.03748
1;1990;10;1.39497;0.8459;10.3977;-1.46794;0.01813;-0.02763
1;1990;11;1.39723;0.88731;10.3977;-1.46794;0.01525;-0.06953
1;1990;12;1.3456;0.87536;10.3977;-1.46794;0.01975;-0.16509
1;1991;1;1.3445;0.8883;9.4606;-0.44197;0.02213;0.04885
1;1991;2;1.34393;0.93568;9.4606;-0.44197;0.01973;0.48238
1;1991;3;1.51206;0.92853;9.4606;-0.44197;0.02497;0.09905
1;1991;4;1.51232;0.92567;9.4606;-0.44197;0.03459;0.22908
1;1991;5;1.50776;0.95654;9.4606;-0.44197;0.06183;0.05859
1;1991;6;1.40651;0.95756;9.4606;-0.44197;0.09552;-0.05182
1;1991;7;1.41333;0.94969;9.4606;-0.44197;0.03284;0.0451
1;1991;8;1.40447;0.95787;9.4606;-0.44197;0.02266;-0.04031
1;1991;9;1.51286;0.98218;9.4606;-0.44197;0.03123;0.25466
1;1991;10;1.3665;0.98515;9.4606;-0.44197;0.09592;0.12325
1;1991;11;1.41436;0.9808;9.4606;-0.44197;0.14377;-0.11694
1;1991;12;1.49096;0.96719;9.4606;-0.44197;0.14075;0.18248
1;1992;1;1.55408;0.9511;10.6646;-1.48474;0.06305;0.09577
1;1992;2;1.76942;0.93843;10.6646;-1.48474;0.24001;-0.04039
1;1992;3;1.73764;0.95189;10.6646;-1.48474;0.10654;-0.13621
1;1992;4;1.69346;0.95999;10.6646;-1.48474;0.1396;-0.1023
1;1992;5;1.64258;0.9034;10.6646;-1.48474;0.07529;0.1372
1;1992;6;1.65027;0.8995;10.6646;-1.48474;0.04999;-0.09092
1;1992;7;1.74965;0.9342;10.6646;-1.48474;0.07976;0.06421
1;1992;8;1.80589;0.93826;10.6646;-1.48474;0.034;-0.05665
1;1992;9;1.81984;0.92306;10.6646;-1.48474;0.01909;-0.01212
1;1992;10;1.88651;0.91491;10.6646;-1.48474;0.04142;0.06501
1;1992;11;2.29466;0.93052;10.6646;-1.48474;0.03549;0.20491
1;1992;12;2.33373;0.96963;10.6646;-1.48474;0.1176;0.29571
1;1993;1;2.31806;0.97956;11.2072;-1.70329;0.11863;-0.14023
1;1993;2;2.11172;0.973;11.2072;-1.70329;0.07748;-0.1422
1;1993;3;2.08495;0.96678;11.2072;-1.70329;0.06173;-0.46762
1;1993;4;1.86828;0.97714;11.2072;-1.70329;0.11956;0.07006
1;1993;5;1.82918;0.97899;11.2072;-1.70329;0.13021;-0.0968
1;1993;6;1.84453;0.96904;11.2072;-1.70329;0.03947;0.1766
1;1993;7;1.87039;0.96465;11.2072;-1.70329;0.0862;-0.0024
1;1993;8;1.87506;0.96446;11.2072;-1.70329;0.07232;0.21269
1;1993;9;1.90408;0.96416;11.2072;-1.70329;0.09177;0.1224
1;1993;10;1.90371;0.95974;11.2072;-1.70329;0.0702;0.01632
1;1993;11;1.88989;0.96746;11.2072;-1.70329;0.09685;-0.12977
1;1993;12;1.95065;0.96677;11.2072;-1.70329;0.06822;-0.16897
1;1994;1;1.93089;0.97683;10.4515;-1.05198;0.10817;-0.1025
1;1994;2;1.63101;0.97807;10.4515;-1.05198;0.06748;-0.14099
1;1994;3;1.67423;0.96963;10.4515;-1.05198;0.04959;-0.19625
1;1994;4;1.72199;0.97933;10.4515;-1.05198;0.0414;0.3773
1;1994;5;1.60632;0.96405;10.4515;-1.05198;0.0587;-0.01769
1;1994;6;1.56569;0.97868;10.4515;-1.05198;0.03708;-0.10604
1;1994;7;1.57084;0.98286;10.4515;-1.05198;0.0453;-0.2487
1;1994;8;1.36928;0.98072;10.4515;-1.05198;0.03744;-0.1124
1;1994;9;1.35799;0.98088;10.4515;-1.05198;0.05059;-0.15004
1;1994;10;1.47618;0.98915;10.4515;-1.05198;0.02993;0.33906
1;1994;11;1.50626;0.97002;10.4515;-1.05198;0.06759;-0.23774
1;1994;12;1.6092;0.9697;10.4515;-1.05198;0.06812;-0.05996
1;1995;1;1.61099;0.96769;9.623;-1.70441;0.05999;-0.0042
1;1995;2;1.63806;0.95888;9.623;-1.70441;0.02317;0.02541
1;1995;3;1.6401;0.9461;9.623;-1.70441;0.02018;0.08111
1;1995;4;1.64901;0.95879;9.623;-1.70441;0.02811;0.17981
1;1995;7;1.53081;0.93423;9.623;-1.70441;0.04896;0.92654
1;1995;8;1.70896;0.96212;9.623;-1.70441;0.11877;0.03101
1;1995;9;1.68498;0.96487;9.623;-1.70441;0.05906;0.04742
1;1995;10;1.56232;0.9681;9.623;-1.70441;0.06043;-0.02109
1;1995;11;1.78243;0.98477;9.623;-1.70441;0.04573;-0.03753
1;1995;12;1.78187;0.99733;9.623;-1.70441;0.059;-0.02214
1;1996;1;1.96829;0.9948;10.3147;-1.18708;0.07534;0.08342
1;1996;2;2.04329;0.9977;10.3147;-1.18708;0.08357;0.57675
1;1996;3;2.115;0.99465;10.3147;-1.18708;0.16769;0.03692
1;1996;4;1.56297;0.98972;10.3147;-1.18708;0.19318;0.05422
1;1996;5;1.53566;0.99285;10.3147;-1.18708;0.10668;-0.04124
1;1996;6;1.45215;0.99461;10.3147;-1.18708;0.10746;-0.11939
